epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28867,1.34299,3.20997,3.11478,1.35448,0.00904,0.97685,0.22628,0.13104,0.00731,0.80444,0.1783,0.10609,0.90863,2.14781,2.76967,1.17544,0.098002,2e-06,2e-06
2,12.622,1.32454,3.19386,3.12207,1.35243,0.00905,0.97685,0.22339,0.129,0.00724,0.79981,0.18352,0.1039,0.9166,2.15314,2.77301,1.18101,0.095005,4.99995e-06,4.99995e-06
3,16.3592,1.33362,2.90737,3.10984,1.3731,0.01021,0.97685,0.28491,0.18781,0.001,0.11207,0.00082,0.00023,0.91649,17.6409,2.65537,1.18481,0.092008,7.99969e-06,7.99969e-06
4,20.0493,1.17535,2.6999,2.7893,1.20994,0.00957,0.9537,0.33066,0.19216,0.00014,0.01501,8e-05,1e-05,1.45722,21.7254,2.90886,1.59068,0.089011,1.0999e-05,1.0999e-05
5,23.6272,1.14851,2.33479,2.38465,1.18278,0.00798,0.83142,0.2026,0.06174,8e-05,0.00926,4e-05,1e-05,2.12005,34.3022,3.59384,2.37926,0.086014,1.39978e-05,1.39978e-05
6,27.2267,1.05015,2.05972,2.18297,1.11779,0.00814,0.6978,0.16741,0.04125,0.00057,0.06593,0.00044,0.00014,2.37949,17.2989,4.26186,2.68154,0.083017,1.69958e-05,1.69958e-05
7,30.8804,1.10236,2.23369,2.11482,1.14177,0.00758,0.64591,0.11759,0.03121,0.0016,0.16363,0.00501,0.00125,2.52597,12.3964,4.10813,2.70353,0.08002,1.9993e-05,1.9993e-05
8,34.4582,1.05949,2.07189,2.00236,1.1163,0.00749,0.57583,0.1177,0.03766,0.00043,0.04853,0.00092,0.00019,2.6299,10.0213,3.94506,2.81128,0.077023,2.2989e-05,2.2989e-05
9,38.054,1.07506,2.01087,1.91375,1.12924,0.00813,0.6357,0.10875,0.03899,0.00011,0.01389,6e-05,1e-05,2.619,9.1684,3.71504,2.78829,0.074026,2.59837e-05,2.59837e-05
10,41.632,1.03887,1.92228,1.78228,1.08477,0.00555,0.58158,0.10602,0.04255,0,0,0,0,2.42146,10.5801,3.61708,2.58924,0.071029,2.89771e-05,2.89771e-05
11,45.2513,1.09478,1.79183,1.7719,1.09889,0.00582,0.60345,0.11954,0.04246,0.00106,0.09435,0.00067,0.00017,2.4156,6.48143,3.268,2.45752,0.068032,3.19687e-05,3.19687e-05
12,48.9276,1.06064,1.91688,1.64197,1.12112,0.00712,0.75223,0.21647,0.0945,0.00177,0.19045,0.00321,0.00064,2.06815,5.64285,2.90519,2.09459,0.065035,3.49586e-05,3.49586e-05
13,52.4488,0.99903,1.76191,1.53077,1.09358,0.22502,0.62803,0.33808,0.17097,0.00283,0.30109,0.00843,0.00174,1.79847,5.89562,2.73039,1.79585,0.0620379,3.79466e-05,3.79466e-05
14,56.4466,1.02923,1.79997,1.50291,1.09383,0.43467,0.41523,0.39689,0.23744,0.00558,0.46775,0.10009,0.02829,1.54676,5.0016,2.55039,1.56957,0.0590409,4.09323e-05,4.09323e-05
15,60.0012,1.02464,1.70282,1.40511,1.1017,0.62243,0.34075,0.45953,0.30184,0.17175,0.20098,0.07439,0.02796,1.37177,5.82337,2.4302,1.41902,0.0560439,4.39158e-05,4.39158e-05
16,63.5984,1.01681,1.68157,1.35776,1.09457,0.58823,0.37337,0.49889,0.34301,0.13373,0.17529,0.0616,0.02017,1.30819,6.26458,2.31237,1.3601,0.0530469,4.68967e-05,4.68967e-05
